
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|NGC1400          |   24.50|   -20.3|
|NGC2283          |   10.00|   -18.9|
|KDG002           |    3.40|   -11.4|
|KKSG9            |   10.00|   -15.7|
|IC2171           |    9.90|   -16.7|
|Sag dIr          |    1.04|   -11.5|
|DDO161           |    7.30|   -16.4|
|UGCA319          |    7.30|   -14.6|
|MCG -03-34-002   |    7.90|   -15.1|
|WLM              |    0.97|   -14.1|
|CGMW1-260        |   10.80|   -18.3|
|NGC6822          |    0.50|   -15.2|
|LV J0935-1348    |    7.30|   -12.9|
|DDO210           |    0.94|   -11.1|
|KKSG19           |    5.11|   -12.1|
|KKSG33           |    9.30|   -11.5|
|DDO153           |    8.00|   -15.2|
|KKSG34           |    9.30|   -12.1|
|KKSG32           |    9.30|   -11.6|
|SUCD1            |    9.30|   -11.5|
|NGC4594          |    9.30|   -21.8|
|NGC4700          |    7.30|   -17.1|
|LV J1235-1104    |   10.00|   -14.5|
|Cetus            |    0.78|   -10.2|
|MCG-02-33-075    |    8.70|   -15.2|
|KKSG29           |    7.70|   -13.0|
|KKSG31           |    9.30|   -12.3|
|LV J0956-0929    |    5.18|   -13.0|
|KKSG16           |    9.70|   -12.2|
|KKSG30           |    9.10|   -13.6|
|UGCA127sat       |    8.50|   -16.3|
|UGCA127          |    8.50|   -20.0|
|KKSG17           |    9.70|   -14.8|
|KKSG18           |    9.70|   -16.6|
|WHI B0619-07     |    8.40|   -17.8|
|KDG218           |    5.00|   -11.9|
|KDG065           |    9.70|   -13.6|
|NGC3115          |    9.68|   -20.8|
|MCG -01-26-009   |    9.70|   -14.0|
|KKSG15           |    9.70|   -15.0|
|UGCA193          |    9.70|   -15.8|
|KKSG38           |   10.40|   -13.2|
|NGC4597          |   10.10|   -17.8|
|DDO148           |    9.00|   -16.2|
|HIPASS J1258-04  |    6.50|   -13.9|
|SexA             |    1.32|   -13.9|
|HIZSS003         |    1.67|   -12.8|
|NGC1637          |    9.29|   -18.7|
|UGC06145         |   10.70|   -13.9|
|SexDSph          |    0.09|    -8.7|
|KKSG22           |   10.70|   -12.2|
|LeoIV            |    0.16|    -4.2|
|KDG155           |    8.11|   -13.2|
|NGC3521          |   10.70|   -21.2|
|KDG058           |   10.00|   -13.1|
|KKSG20           |   10.70|   -12.8|
|NGC4517          |    9.70|   -20.2|
|NGC3521sat       |   10.70|   -14.2|
|LV J1021+0054    |    6.78|   -11.9|
|CGCG 014-054     |    9.60|   -14.4|
|UGC05797         |    7.00|   -15.1|
|IC1613           |    0.73|   -14.5|
|UGC07512         |   10.60|   -15.0|
|LeoV             |    0.18|    -3.8|
|NGC4600          |    7.35|   -15.8|
|KKR08            |    8.00|   -11.7|
|UGC07983         |    9.40|   -13.9|
|AGC208397        |   26.20|   -12.6|
|KKH86            |    2.59|   -10.3|
|NGC4765          |    9.70|   -16.8|
|UGC03303         |    7.14|   -16.0|
